epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.2015,0.53687,0.89286,1,0.29761,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847
2,21.9083,0.2277,0.95635,1,0.13669,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794
3,24.3006,0.11276,0.98413,1,0.06519,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402
4,26.5308,0.06106,0.9881,1,0.03437,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,28.8291,0.03541,0.99206,1,0.01897,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,31.0398,0.03248,0.99603,1,0.01031,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,33.1666,0.02558,0.99603,1,0.00835,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,35.2879,0.02273,0.99603,1,0.00703,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,37.443,0.0193,1,1,0.00553,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,39.6133,0.0184,1,1,0.00507,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,43.5925,0.0188,0.99603,1,0.00576,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,45.7988,0.01522,1,1,0.00346,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,48.0382,0.01175,0.99603,1,0.00985,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,50.2522,0.01518,0.99603,1,0.00658,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,52.4643,0.0222,1,1,0.00269,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,54.6476,0.0187,1,1,0.00255,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,56.8174,0.00517,1,1,0.00275,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,58.9776,0.00807,1,1,0.00283,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,61.2075,0.00651,1,1,0.00349,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,63.3356,0.00979,0.99603,1,0.00387,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
