epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.42872,1.58097,3.59081,0.02685,0.00263,0.9375,0.0169,0.00766,0.87079,3.98434,0.01457,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,3.43088,1.61102,3.56292,0.02764,0.00272,0.96875,0.01908,0.0081,0.94032,4.02285,0.01579,0.0010099,0.000336634,0.0010099,0.000336634,0.0010099,0.000336634,0.0010099,0.000336634
3,4.93611,1.60435,3.52292,0.026,0.00272,0.96875,0.02469,0.00916,0.95131,4.0242,0.01689,0.00152911,0.000509704,0.00152911,0.000509704,0.00152911,0.000509704,0.00152911,0.000509704
4,6.43488,1.61233,3.51915,0.02711,0.00281,1,0.03742,0.01165,0.94182,4.0231,0.01611,0.00203763,0.00067921,0.00203763,0.00067921,0.00203763,0.00067921,0.00203763,0.00067921
5,8.37727,1.47356,3.5178,0.02388,0.00272,0.96875,0.03936,0.01394,0.99174,4.00618,0.0176,0.00253546,0.000845152,0.00253546,0.000845152,0.00253546,0.000845152,0.00253546,0.000845152
6,9.81401,1.54604,3.46576,0.02632,0.00272,0.96875,0.05687,0.01999,0.96252,4.05739,0.01712,0.00302259,0.00100753,0.00302259,0.00100753,0.00302259,0.00100753,0.00302259,0.00100753
7,11.1984,1.3417,3.42371,0.02367,0.00272,0.96875,0.05753,0.02466,0.98618,3.99991,0.01688,0.00349903,0.00116634,0.00349903,0.00116634,0.00349903,0.00116634,0.00349903,0.00116634
8,12.5848,1.30073,3.35013,0.02402,0.00272,0.96875,0.09459,0.03358,0.99575,3.93242,0.01693,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159,0.00396478,0.00132159
9,14.0006,1.37211,3.2473,0.02344,0.00272,0.96875,0.14796,0.0594,0.98386,3.75098,0.01635,0.00441984,0.00147328,0.00441984,0.00147328,0.00441984,0.00147328,0.00441984,0.00147328
10,15.2482,1.20135,3.04916,0.02054,0.00272,0.96875,0.37564,0.20986,1.01769,3.5243,0.01707,0.00486421,0.0016214,0.00486421,0.0016214,0.00486421,0.0016214,0.00486421,0.0016214
11,16.5088,1.29683,2.88632,0.02226,0.69964,0.21875,0.43252,0.28472,0.99719,3.24877,0.01706,0.00529788,0.00176596,0.00529788,0.00176596,0.00529788,0.00176596,0.00529788,0.00176596
12,17.8918,1.28158,2.70659,0.02021,0.40032,0.54256,0.46585,0.31244,1.11305,2.89435,0.01954,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,19.1254,1.3584,2.76731,0.02458,0.55735,0.53125,0.47916,0.32424,1.10962,2.95317,0.01965,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,20.518,1.34076,2.53303,0.02398,0.53972,0.53125,0.51844,0.34085,1.27081,2.97408,0.02305,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,21.7576,1.29823,2.33653,0.02166,0.54373,0.71875,0.5613,0.3655,1.29554,2.89698,0.0249,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
