epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2173,1.91537,3.3071,1.81318,0.00754,0.875,0.0348,0.01359,1.08081,3.28068,1.24494,0.00016,0.00016,0.00016
2,34.8218,1.56554,3.07585,1.53399,0.00775,0.90625,0.45094,0.26536,1.46065,3.08659,1.25218,0.000336634,0.000336634,0.000336634
3,49.3858,1.42517,2.73004,1.36204,0.62278,0.7224,0.74479,0.329,1.51907,2.62927,1.06737,0.000509704,0.000509704,0.000509704
4,64.7797,1.59977,2.50514,1.36766,0.87115,0.42305,0.66491,0.30535,1.69046,2.60218,1.26651,0.00067921,0.00067921,0.00067921
5,83.0584,1.66246,2.15601,1.46549,0.74428,0.53125,0.67848,0.21281,1.98769,2.31821,1.43786,0.000845152,0.000845152,0.000845152
6,105.516,1.54545,1.79467,1.4291,0.59482,0.59375,0.51077,0.21702,1.5409,2.35034,1.18204,0.00100753,0.00100753,0.00100753
7,124.681,1.51733,1.5294,1.40957,0.41572,0.65625,0.37647,0.18,1.64259,2.10214,1.90881,0.00116634,0.00116634,0.00116634
8,144.444,1.50539,1.52576,1.42973,0.61997,0.71385,0.67301,0.29422,1.89508,2.00182,1.79381,0.00132159,0.00132159,0.00132159
9,164.429,1.50637,1.59157,1.45519,0.07713,0.65625,0.07224,0.02901,1.95564,11.8738,2.3308,0.00147328,0.00147328,0.00147328
10,182.685,1.50448,1.53147,1.46035,0.04349,0.8125,0.04077,0.01555,2.00864,21.2904,2.41873,0.0016214,0.0016214,0.0016214
11,206.416,1.56908,1.58049,1.49062,0.04312,0.78125,0.03878,0.01272,2.26639,18.067,2.99785,0.00176596,0.00176596,0.00176596
12,225.13,1.53822,1.58633,1.5177,0.1384,0.4375,0.09618,0.03773,2.16383,4.59018,2.23508,0.0017822,0.0017822,0.0017822
13,241.502,1.49557,1.5197,1.45424,0.63461,0.375,0.36226,0.14042,2.21205,2.4382,2.27451,0.0017624,0.0017624,0.0017624
14,263.276,1.52066,1.5046,1.48612,0.30549,0.40625,0.24702,0.11595,1.91778,2.59119,1.95226,0.0017426,0.0017426,0.0017426
15,278.656,1.43818,1.42311,1.46071,0.09469,0.21875,0.03602,0.01777,2.70459,3.95243,3.42665,0.0017228,0.0017228,0.0017228
16,296.222,1.48122,1.36445,1.43164,0.603,0.1875,0.15948,0.06936,3.29584,3.20155,5.16199,0.001703,0.001703,0.001703
17,310.153,1.47388,1.4163,1.47282,0.67949,0.39785,0.37034,0.19327,2.02805,2.25948,1.8677,0.0016832,0.0016832,0.0016832
18,324.273,1.49032,1.32393,1.49483,0.73151,0.42611,0.5587,0.30836,1.68382,2.48112,1.72857,0.0016634,0.0016634,0.0016634
19,338.267,1.38022,1.34276,1.44338,0.53256,0.34375,0.36386,0.19065,1.92032,2.18622,1.89646,0.0016436,0.0016436,0.0016436
20,353.36,1.39115,1.27032,1.41292,0.48761,0.5948,0.50666,0.2337,2.1173,1.96551,1.78335,0.0016238,0.0016238,0.0016238
21,368.287,1.25787,1.19137,1.33076,0.83355,0.6875,0.72848,0.43913,1.56392,1.39906,1.52506,0.001604,0.001604,0.001604
22,382.742,1.44969,1.2904,1.49233,0.84633,0.65625,0.73462,0.43627,1.60136,1.35585,1.52114,0.0015842,0.0015842,0.0015842
23,396.776,1.46789,1.32827,1.46467,0.85792,0.53125,0.6999,0.43178,1.52685,1.37132,1.44488,0.0015644,0.0015644,0.0015644
24,411.185,1.36332,1.2221,1.35494,0.8224,0.78125,0.80896,0.48727,1.41277,1.42232,1.38017,0.0015446,0.0015446,0.0015446
